"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.806567083E-1,8.178215481E-2,-1.428273055E-1,-2.731702209E-1,3.189199423E-1
5.906697083E-1,1.776167768E-1,-8.839996040E-2,-3.975019062E-1,4.442634779E-1
6.006817083E-1,1.392280519E-1,-5.179755986E-3,-4.727234119E-1,4.928272562E-1
6.106937083E-1,-2.309796363E-2,1.464427851E-1,-4.926074535E-1,5.144328027E-1
6.207067083E-1,-1.597566759E-1,3.588936183E-1,-6.206673235E-1,7.345439069E-1
6.307187083E-1,-2.343909019E-1,5.278629479E-1,-8.483549774E-1,1.026296524E0
6.407317083E-1,-2.656212462E-1,6.941549836E-1,-1.116705338E0,1.341430803E0
6.507437083E-1,-3.345399651E-1,9.173170388E-1,-1.348188420E0,1.664631957E0
6.607567083E-1,-3.683848918E-1,1.064244850E0,-1.381975386E0,1.782745214E0
6.707687083E-1,-3.243988466E-1,1.048649157E0,-1.114417323E0,1.564233242E0
6.807817083E-1,-2.323874997E-1,8.161452976E-1,-6.575843042E-1,1.073552148E0
6.907937083E-1,-1.391044747E-1,6.002678499E-1,-1.778746390E-1,6.413352740E-1
7.008067083E-1,-1.138295744E-1,4.538871914E-1,2.486686331E-1,5.299121093E-1
7.108187083E-1,-1.182312487E-1,3.188704504E-1,8.056784892E-1,8.745140481E-1
7.208307083E-1,-1.491741657E-2,2.573399077E-1,1.269178503E0,1.295090897E0
7.308437083E-1,1.163155546E-1,2.565343076E-1,1.526329107E0,1.552101705E0
7.408557083E-1,3.374345561E-1,8.234414533E-2,1.285327928E0,1.331431756E0
7.508687083E-1,3.091808101E-1,-1.330665776E0,5.211915672E-1,1.462157595E0
7.608807083E-1,-5.433362885E-1,-8.659012290E-1,1.283873141E0,1.641136650E0
7.708937083E-1,-1.383274930E0,-8.112369255E-1,1.567749029E0,2.242630575E0
7.809057083E-1,-1.303932891E0,-3.106366206E-1,1.577569427E0,2.070135598E0
7.909187083E-1,-1.532050462E0,3.168736628E-1,4.386733210E-1,1.624814395E0
8.009307083E-1,-1.573902054E0,5.569462676E-1,-1.154446777E0,2.029803976E0
8.109437083E-1,-9.930205013E-1,7.052642548E-1,-9.205955726E-1,1.526755905E0
8.209557083E-1,-2.655476443E-1,5.377462041E-1,-8.481982720E-1,1.038810300E0
8.309677083E-1,2.410186295E-1,1.618525372E-1,-1.066884137E0,1.105679875E0
8.409807083E-1,9.664400091E-1,2.766776001E-1,1.520638597E-1,1.016700646E0
8.509927083E-1,1.561590449E0,8.794030347E-1,1.669506953E0,2.449319884E0
8.610057083E-1,1.570202813E0,1.728953402E0,2.677254106E0,3.552816670E0
8.710177083E-1,1.457270567E0,2.401926847E0,3.660953999E0,4.614701970E0
8.810307083E-1,1.354533234E0,2.400892036E0,3.876055521E0,4.756348311E0
8.910427083E-1,1.324375488E0,2.246623338E0,2.947653331E0,3.935727000E0
9.010557083E-1,1.341603724E0,1.353208547E0,2.612064668E0,3.233257762E0
9.110677083E-1,1.663414739E0,-2.423418361E-1,2.089061049E0,2.681390353E0
9.210807083E-1,1.929593006E0,-1.383624886E0,1.253792140E0,2.685096222E0
9.310927083E-1,1.425678353E0,-1.884708171E0,6.898363763E-1,2.461820034E0
9.411047083E-1,-1.685701109E-2,-2.013750080E0,-9.169404781E-1,2.212747926E0
9.511177083E-1,-1.451504481E0,-1.908205791E0,-2.750424993E0,3.648691854E0
9.611297083E-1,-2.035216963E0,-1.487136683E0,-3.318076782E0,4.166931380E0
9.711427083E-1,-1.666229881E0,-1.034201710E0,-2.326077935E0,3.042455218E0
9.811547083E-1,-8.457927275E-1,-8.801683621E-1,-1.113313953E0,1.652128821E0
9.911677083E-1,-2.025368790E-1,-1.121181090E0,-6.507407230E-1,1.312071534E0
1.001179708E0,-3.429830521E-2,-1.183695134E0,-5.617665660E-1,1.310683874E0
1.011192708E0,-2.933840454E-3,-8.834473345E-1,-6.885096431E-1,1.120059520E0
1.021204708E0,-4.664170437E-2,-4.689771008E-1,-8.069444114E-1,9.344914407E-1
1.031217708E0,-2.528033455E-1,-2.247940131E-1,-6.993802017E-1,7.769006026E-1
1.041229708E0,-4.874345680E-1,-2.061093816E-1,-5.067489445E-1,7.327127868E-1
1.051241708E0,-5.316681696E-1,-2.704845947E-1,-3.391297370E-1,6.861792310E-1
1.061254708E0,-4.865161166E-1,-2.818306781E-1,-1.978539902E-1,5.960475352E-1
1.071266708E0,-4.659099439E-1,-2.645797840E-1,-3.347671294E-1,6.317781009E-1
1.081279708E0,-4.842845267E-1,-2.638941979E-1,-6.650283945E-1,8.639643603E-1
1.091291708E0,-5.088336231E-1,-2.102436554E-1,-8.475088853E-1,1.010636117E0
1.101304708E0,-5.884415638E-1,-1.501977208E-1,-7.447247744E-1,9.609567206E-1
1.111316708E0,-4.685096890E-1,-1.889377172E-1,-5.997986108E-1,7.841920449E-1
1.121329708E0,-2.048015057E-1,-2.622677949E-1,-5.860038596E-1,6.738906265E-1
1.131341708E0,1.326660141E-3,-2.730917220E-1,-8.069081587E-1,8.518694883E-1
1.141354708E0,7.837783277E-2,-2.073180011E-1,-1.058174710E0,1.081137158E0
1.151366708E0,1.146301313E-1,-6.108118415E-2,-1.059667504E0,1.067598331E0
1.161378042E0,1.793365891E-1,1.554331715E-1,-7.472279674E-1,7.840093866E-1
1.171391042E0,1.965418750E-1,2.802927142E-1,-2.416063660E-1,4.190063847E-1
1.181403042E0,1.840108533E-1,2.339354038E-1,2.558624625E-2,2.987313564E-1
1.191416042E0,-8.716758661E-2,8.788876757E-2,1.084249198E-2,1.242585339E-1
1.201428042E0,-4.122544312E-1,-4.970221013E-2,-1.784985369E-1,4.519798153E-1
1.211441042E0,-5.593423104E-1,-1.832353663E-1,-2.501526564E-1,6.395430957E-1
